store_id,Date and Time,totalamount,totalorder,totalqty
27993,2021-01-25,14.9,1,1
24622,2021-01-25,13.9,1,1
24136,2021-01-26,16.9,1,1
24537,2021-01-27,31.9,1,1
24136,2021-01-27,14.9,1,1
28918,2021-01-27,12.9,1,1
24580,2021-01-28,18.9,1,1
29910,2021-01-28,22.9,1,1
24622,2021-01-28,22.9,1,1
29907,2021-01-29,54.9,1,1
29906,2021-01-29,71.8,2,2
29910,2021-01-29,22.9,1,1
31941,2021-01-30,64.9,1,1
27584,2021-01-30,34.9,1,1
24622,2021-01-30,12.9,1,1
24580,2021-02-22,29.9,1,1
29910,2021-02-22,155.9,1,1
27993,2021-02-22,41.8,1,2
24136,2021-02-22,31.8,1,2
28918,2021-02-23,18.9,1,1
24580,2021-02-23,36.8,1,2
24050,2021-02-23,13.9,1,1
24622,2021-02-23,10.9,1,1
29906,2021-02-23,33.9,1,1
29479,2021-02-24,231.9,1,1
24622,2021-02-25,43.7,2,3
28918,2021-02-25,38.8,1,2
31941,2021-02-25,82.8,1,2
24580,2021-02-25,51.8,1,2
29581,2021-02-26,99.9,1,1
29910,2021-02-26,17.9,1,1
24580,2021-02-26,14.9,1,1
24622,2021-02-26,20.9,1,1
31941,2020-12-28,17.9,1,1
12855,2020-12-28,101.8,1,2
29910,2020-12-28,33.9,1,1
27584,2020-12-28,34.9,1,1
28918,2020-12-29,14.9,1,1
29581,2020-12-29,20.9,1,1
31941,2020-12-30,27.9,1,1
24136,2020-12-30,225.9,1,1
12855,2020-12-30,18.9,1,1
31941,2021-01-02,25.9,1,1
24209,2021-02-01,35.8,2,2
24580,2021-02-01,16.9,1,1
28918,2021-02-02,12.9,1,1
29906,2021-02-02,26.9,1,1
31913,2021-02-02,50.8,2,2
29910,2021-02-03,20.9,1,1
29581,2021-02-03,42.8,2,2
24209,2021-02-04,16.9,1,1
29907,2021-02-04,34.9,1,1
31871,2021-02-04,12.9,1,1
24136,2021-02-04,300.8,1,2
24209,2021-02-05,11.9,1,1
29581,2021-02-05,53.9,1,1
31946,2021-02-05,33.9,1,1
24622,2021-02-06,19.9,1,1
24580,2021-02-06,17.9,1,1
31941,2021-01-04,11.9,1,1
12855,2021-01-04,81.6,1,4
29910,2021-01-04,20.9,1,1
24209,2021-01-05,13.9,1,1
31913,2021-01-05,51.8,1,2
29910,2021-01-06,22.9,1,1
27584,2021-01-06,21.9,1,1
29479,2021-01-06,16.9,1,1
24136,2021-01-08,12.9,1,1
31937,2020-12-07,15.9,1,1
24209,2020-12-07,32.9,1,1
26574,2020-12-07,12.9,1,1
31915,2020-12-07,32.8,2,2
25770,2020-12-07,12.9,1,1
24529,2020-12-07,21.9,1,1
28514,2020-12-07,19.9,1,1
