store_id,Date and Time,totalamount,totalorder,totalqty
28544,2021-03-02,166.99,1,1
28544,2021-03-03,329.72,1,2
24552,2021-03-03,14.9,1,1
24031,2021-03-04,12.9,1,1
24553,2021-03-04,25.9,1,1
13908,2021-03-05,39.7,2,3
31923,2021-03-05,11.9,1,1
28544,2021-03-05,427.8,2,2
31924,2021-03-05,45.7,3,3
24654,2021-03-08,18.9,1,1
25608,2021-03-08,613.9,1,1
24654,2021-03-09,18.9,1,1
24553,2021-03-09,13.9,1,1
12285,2021-03-10,18.9,1,1
13908,2021-03-10,29.8,1,2
13219,2021-03-10,632.9,1,1
25608,2021-03-10,43.8,1,2
12285,2021-03-11,146.9,1,1
13317,2021-03-11,59.9,1,1
25574,2021-03-12,528.9,1,1
24142,2021-03-12,35.9,1,1
