"order_number","order_datetime","total_quantity","total_amount","store_id","webshop_name","store_url"
"2795486","2021-03-08 09:25:14","1","16.90","24031","brodos.net Kiosk","mobilerhandyberatershop.de"
"2795552","2021-03-08 14:15:52","1","19.90","24622","brodos.net Kiosk","https://vodafone-idar-oberstein.storeship.com"
"2795585","2021-03-08 16:33:21","1","24.90","26574","brodos.net Kiosk",NULL
"2795816","2021-03-09 09:40:47","2","27.80","25770","brodos.net Kiosk","handymedia.penzberg@brodos.net"
"2795844","2021-03-09 11:04:26","1","22.90","26574","brodos.net Kiosk",NULL
"2795935","2021-03-09 16:02:25","1","22.90","25770","brodos.net Kiosk","handymedia.penzberg@brodos.net"
"2795940","2021-03-09 16:27:17","1","17.90","25770","brodos.net Kiosk","handymedia.penzberg@brodos.net"
"2795947","2021-03-09 17:11:46","1","16.90","31946","brodos.net Kiosk",NULL
"2796184","2021-03-10 08:24:26","2","69.80","29581","brodos.net Kiosk","https://vfcity-ribnitz.cloud2.brodos.net/"
"2796189","2021-03-10 09:18:23","1","26.90","29906","brodos.net Kiosk","https://handy-eshop-berlin.brodos.net/"
"2796224","2021-03-10 10:42:34","1","18.90","31875","brodos.net Kiosk","https://myextra-heidelberg.de"
"2796248","2021-03-10 11:48:29","1","16.90","29910","brodos.net Kiosk",NULL
"2796260","2021-03-10 13:02:35","1","17.90","26484","brodos.net Kiosk","https://vodafonestore-wedemark.brodos.net"
"2796273","2021-03-10 13:59:26","2","28.80","24580","brodos.net Kiosk",NULL
"2796281","2021-03-10 14:24:24","1","14.90","24580","brodos.net Kiosk",NULL
"2796322","2021-03-10 16:30:43","1","22.90","12855","brodos.net Kiosk","elektro-niedermaier.shop"
"2796460","2021-03-11 08:29:10","1","14.90","24209","brodos.net Kiosk","http://handyeck.eu"
"2796547","2021-03-11 14:59:28","1","11.90","25564","brodos.net Kiosk","https://vodafonestore-schwarmstedt.storeship.com"
"2796548","2021-03-11 14:59:47","1","19.90","28918","brodos.net Kiosk",
"2796675","2021-03-12 09:01:48","1","24.90","12285","brodos.net Kiosk","vodafone-lindau.brodos.shop"
"2796720","2021-03-12 10:07:49","1","13.90","24209","brodos.net Kiosk","http://handyeck.eu"
"2796724","2021-03-12 10:13:51","1","48.90","24136","brodos.net Kiosk","https://vcqf.storeship.com"
"2796754","2021-03-12 12:00:54","2","84.80","31941","brodos.net Kiosk",NULL
"2796762","2021-03-12 12:37:59","1","26.90","27584","brodos.net Kiosk",NULL
"2796797","2021-03-12 14:56:33","1","13.90","31871","brodos.net Kiosk",NULL
"2796804","2021-03-12 15:35:13","1","22.90","24209","brodos.net Kiosk","http://handyeck.eu"
"2796873","2021-03-13 09:17:10","1","14.90","31941","brodos.net Kiosk",NULL
"2796892","2021-03-13 10:33:44","1","31.90","27584","brodos.net Kiosk",NULL
"2796894","2021-03-13 10:37:05","1","193.90","29910","brodos.net Kiosk",NULL
"2796896","2021-03-13 10:40:41","1","22.90","24097","brodos.net Kiosk","https://myextra-gd.com/"
