"order_number","order_datetime","total_quantity","total_amount","store_id","webshop_name","store_url"
"2795563","2021-03-08 14:54:08","1","18.90","24654","brodos.net Onlineshop","https://heuschneider.tv"
"2795569","2021-03-08 15:35:01","1","613.90","25608","brodos.net Onlineshop","https://www.mobilesandmore-shop.de/"
"2795802","2021-03-09 08:51:20","1","18.90","24654","brodos.net Onlineshop","https://heuschneider.tv"
"2795880","2021-03-09 13:20:05","1","13.90","24553","brodos.net Onlineshop","http://www.petznik.de"
"2796196","2021-03-10 09:38:21","1","18.90","12285","brodos.net Onlineshop","vodafone-lindau.brodos.shop"
"2796230","2021-03-10 10:55:02","2","29.80","13908","brodos.net Onlineshop","https://base-bruehl.storeship.com"
"2796264","2021-03-10 13:25:45","1","632.90","13219","brodos.net Onlineshop","onlineshop-braunfels.de"
"2796336","2021-03-10 17:29:08","2","43.80","25608","brodos.net Onlineshop","https://www.mobilesandmore-shop.de/"
"2796470","2021-03-11 09:29:54","1","146.90","12285","brodos.net Onlineshop","vodafone-lindau.brodos.shop"
"2796588","2021-03-11 19:05:33","1","59.90","13317","brodos.net Onlineshop","my-extra-pasewalk.brodos.shop"
"2796798","2021-03-12 14:59:28","1","528.90","25574","brodos.net Onlineshop","funkcenter-schnelldorf-dinkelsbuehl.de"
"2796818","2021-03-12 17:09:01","1","35.90","24142","brodos.net Onlineshop","der-landfunk.de"
