orderNo,comment
2784151,Delivered
2792723,Delivered
2792577,Delivered
2793578,Delivered
2793627,Delivered
2793025,Delivered
2790932,Delivered
2793563,Delivered
2793528,Delivered
2793524,Delivered
2793530,Delivered
2793513,Delivered
2793522,Delivered
2793976,Delivered
2793967,Delivered
2793897,Delivered
2793914,Delivered
2793893,Delivered
2793642,Delivered
2793835,Delivered
2793847,Delivered
2793688,Delivered
2793843,Delivered
2793667,Delivered
2793264,Delivered
2794019,Delivered
2777498,Delivered
2764192,Delivered
2764565,Delivered
2764576,Delivered
2766856,Delivered
2781819,Delivered
2767808,Tracking_expired
2793623,Invalid_tracking
2793646,Parcel_pending_from_supplier | Delivered
2793646,Parcel_pending_from_supplier
