,Unnamed: 0,Zeitraum vom: 13.01.2020 bis:  13.01.2020,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,,,,
1,,,,,
2,LS NR,,Sendreferenz NR,Frachtführer,BESTELL NR
3,32338535,,1Z3969A26895115617,UPS,2632448
4,32338539,,1Z3969A26897611658,UPS,2632470
5,32338541,,1Z3969A26897355677,UPS,2632514
6,32338545,,1Z3969A26897835710,UPS,2632601
7,32338546,,1Z3969A26899995722,UPS,2632589
8,32338547,,1Z3969A26898171739,UPS,2632240
9,32338553,,1Z3969A26897163795,UPS,2632187
10,32338659,,1Z3969A26896164698,UPS,2633894
11,32338662,,1Z3969A26893742756,UPS,2633883
12,32338663,,1Z3969A26892520765,UPS,BMP150920005
13,32338671,,1Z3969A26893538585,UPS,2633932
14,32338682,,1Z3969A26890659816,UPS,2633882
