,Unnamed: 0,Zeitraum vom: 24.01.2020 bis:  24.01.2020,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,,,,
1,,,,,
2,LS NR,,Sendreferenz NR,Frachtführer,BESTELL NR
3,32340132,,1Z3969A26897340852,UPS,2638259
4,32340136,,1Z3969A26897772896,UPS,2636659
5,32340137,,1Z3969A26899420904,UPS,2636777
6,32340138,,1Z3969A26897884917,UPS,2636692
7,32340139,,1Z3969A26898764929,UPS,2636625
8,32340141,,1Z3969A26895172949,UPS,2636650
9,32340150,,1Z3969A26891775251,UPS,2638303
10,32340155,,1Z3969A26892661309,UPS,2636618
11,32340156,,1Z3969A26891392316,UPS,2636582
12,32340157,,1Z3969A26893791926,UPS,2636551
13,32340161,,1Z3969A26892362356,UPS,2636591
14,32340170,,1Z3969A26896173044,UPS,2638471
15,32340182,,1Z3969A26899773097,UPS,2638494
16,32340186,,1Z3969A26890098511,UPS,2638485
17,32340187,,1Z3969A26894830122,UPS,2638442
18,32340196,,1Z3969A26895261183,UPS,BMP151100040
19,32340218,,1Z3969A26899773391,UPS,2638587
20,32340219,,1Z3969A26897221409,UPS,2638561
