company;youtube
Fachhochschule Salzburg GmbH;https://www.youtube.com/fhsalzburg
FH Campus Wien;https://www.youtube.com/user/fhcampuswien1100
Diakonie Bildung gem GmbH;https://www.youtube.com/user/DiakonieOesterreich
Lernquadrat;https://www.youtube.com/user/LernQuadratNachhilfe
Danube Private University (DPU);https://www.youtube.com/channel/UCvESS7UfC0jhltCObpXl_xA
Senioren-Betreuung Feldkirch GmbH;https://www.youtube.com/user/Feldkirch09/
MCI Management Center Innsbruck - Internationale Hochschule GmbH;https://www.youtube.com/user/MCInnsbruck
Kinder in Wien - KIWI;https://www.youtube.com/channel/UCCMINZHjJZrnTXg8mS_Xn0A/about?disable_polymer=1
Universität Wien;https://www.youtube.com/channel/UCghguDKOKiOCBdKffCtmE4A
DeutschAkademie - Sprachinstitut;https://www.youtube.com/user/DeutschAkademie
Institut Dr. Huemer;https://www.youtube.com/channel/UChTFYAau_NWhe_n-b8PcKYA
BFI Berufsförderungsinstitut Salzburg BildungsGmbH;https://www.youtube.com/channel/UCpvKA1Kx89mPM_-m4634yJw
Fachhochschule Technikum Wien;https://www.youtube.com/user/FHTechnikumWien
Vienna International School;https://www.youtube.com/channel/UCdZDUt1UDTvGINCYQQf08Zw
Volksbank Akademie;https://www.youtube.com/channel/UCdTIHeYhbCarA2ELRzsXfuw
UNIVERSITÄT MOZARTEUM;https://www.youtube.com/channel/UC470Q007n74toOmDwoWr6ig
SMBS-University of Salzburg Business School, GmbH;https://www.youtube.com/user/SMBStube
Schulungszentrum Fohnsdorf;https://www.youtube.com/channel/UCWG1A9jyKoOYl6pYTmmWg9A
HOLZTECHNIKUM KUCHL;https://www.youtube.com/user/TheHolztechnikum
AlpinSchule Innsbruck GmbH;https://www.youtube.com/user/ASIWeltentdecker
Fachhochschule des bfi Wien GmbH;https://www.youtube.com/user/Fachhochschuledesbfi
ActiLingua Academy;https://www.youtube.com/channel/UCY2NZegRHMjx9vxf2NVvNOA/
TU Graz;https://www.youtube.com/tugraz
ibis acam Bildungs GmbH;https://www.youtube.com/user/WIFIOesterreich
WIFI Oberösterreich GesmbH;https://www.youtube.com/user/WIFIOesterreich
Vorarlberger Landeskonservatorium GmbH;https://www.youtube.com/channel/UCOzOrROMt11QxTxkjmY6NKg/
Musikschule Fröhlich;https://www.youtube.com/channel/UCsXV9q-wWqUdjj1VlYeuV4w
FH OÖ Studienbetriebs GmbH;https://www.youtube.com/user/fhooeat
Pädagogische Hochschule Tirol;https://www.youtube.com/channel/UC0BQ9BLFpcS7RMyNPAbUv9Q
FH OÖ IT GmbH / FH Oberösterreich;https://www.youtube.com/user/fhooeat
Kunstuniversität Linz;https://www.youtube.com/channel/UC5pbtRZHi0wd99scpH_zQyA
Fachhochschule Wiener Neustadt für Wirtschaft und Technik;https://www.youtube.com/channel/UCCG1SbrZJMdnaLQJdIMcBgw
GS1 Austria GmbH;https://www.youtube.com/user/GS1AustriaGmbH
Technische Universität Wien;https://www.youtube.com/channel/UC7oouRIqDfYHEO3hP59MowA
